id,Country,Year,Asylum applicants,Asylum applicants per capita,Asylum applicants per GDP,Asylum applicants (first instance),Asylum applicants (first instance) per capita,Asylum applicants (first instance) per GDP,Total positive decisions,Total positive decisions per capita,Total positive decisions per GDP,Geneva Convention status grants,Geneva Convention status grants per capita,Geneva Convention status grants per GDP
MT,Malta,2014,1350,314,154,1275,297,146,1260,293,144,190,44,22
NL,Netherlands,2014,24495,146,36,21780,129,32,12550,75,19,2485,15,4
NO,Norway,2014,11480,225,30,10970,215,29,4910,96,13,3590,70,9
PL,Poland,2014,8025,21,20,5610,15,14,720,2,2,260,1,1
PT,Portugal,2014,445,4,3,445,4,3,110,1,1,20,0,0
RO,Romania,2014,1545,8,10,1500,8,10,740,4,5,370,2,2
SE,Sweden,2014,81325,843,185,75090,779,171,30650,318,70,10245,106,23
SI,Slovenia,2014,385,19,10,355,17,9,45,2,1,30,1,1
SK,Slovakia,2014,330,6,4,230,4,3,170,3,2,0,0,0
UK,UK,2014,33010,51,14,32345,50,14,10125,16,4,9005,14,4
AT,Austria,2015,88180,1027,256,85520,996,248,15045,175,44,12590,147,37
BE,Belgium,2015,44760,398,107,39065,348,94,10475,93,25,8825,79,21
BG,Bulgaria,2015,20390,283,445,20160,280,440,5595,78,122,4705,65,103
CH,Switzerland,2015,39515,480,63,38120,463,61,14000,170,22,6285,76,10
CY,Cyprus,2015,2265,267,126,2105,249,117,1585,187,88,195,23,11
CZ,Czechia,2015,1525,14,9,1240,12,7,460,4,3,55,1,0
DE,Germany,2015,476620,587,157,441900,544,146,140915,174,47,137135,169,45
DK,Denmark,2015,20970,371,77,20855,368,76,9995,177,37,7605,134,28
EE,Estonia,2015,230,17,11,225,17,11,80,6,4,20,2,1
GR,Greece,2015,13205,122,75,11370,105,64,4030,37,23,3665,34,21
ES,Spain,2015,14785,32,14,14610,31,14,1020,2,1,220,0,0
FI,Finland,2015,32345,591,153,32150,588,152,1680,31,8,1060,19,5
FR,France,2015,76165,115,35,70570,106,32,20630,31,9,16790,25,8
HR,Croatia,2015,210,5,5,145,3,3,40,1,1,35,1,1
HU,Hungary,2015,177135,1797,1570,174435,1770,1547,425,4,4,145,1,1
IE,Ireland,2015,3275,70,12,3270,70,12,330,7,1,150,3,1
IS,Iceland,2015,370,112,23,360,109,23,50,15,3,30,9,2
IT,Italy,2015,83540,137,50,82790,136,50,29615,49,18,3575,6,2
LI,Liechtenstein,2015,150,401,27,150,401,27,5,13,1,0,0,0
LT,Lithuania,2015,315,11,8,275,9,7,85,3,2,15,1,0
LU,Luxembourg,2015,2505,445,46,2360,419,44,185,33,3,170,30,3
LV,Latvia,2015,330,17,13,330,17,13,20,1,1,5,0,0
MT,Malta,2015,1845,420,185,1695,385,170,1250,284,125,265,60,27
NL,Netherlands,2015,44970,266,65,43035,255,62,16450,97,24,6660,39,10
NO,Norway,2015,31145,603,89,30505,590,87,6250,121,18,5410,105,15
PL,Poland,2015,12190,32,28,10255,27,24,640,2,1,350,1,1
PT,Portugal,2015,895,9,5,870,8,5,195,2,1,35,0,0
RO,Romania,2015,1260,6,8,1225,6,8,480,2,3,240,1,1
SE,Sweden,2015,162550,1668,357,156195,1602,343,32360,332,71,12740,131,28
SI,Slovenia,2015,275,13,7,260,13,7,45,2,1,35,2,1
SK,Slovakia,2015,330,6,4,270,5,3,80,1,1,5,0,0
UK,UK,2015,40410,62,15,39970,62,15,13955,22,5,12180,19,5
AT,Austria,2016,42285,486,118,39905,459,112,30370,349,85,24685,284,69
BE,Belgium,2016,18325,162,43,14290,126,33,15050,133,35,11760,104,27
BG,Bulgaria,2016,19420,271,398,18990,265,389,1350,19,28,765,11,16
CH,Switzerland,2016,27195,327,44,25875,311,42,13190,158,21,5850,70,9
CY,Cyprus,2016,2940,347,155,2840,335,149,1300,153,68,210,25,11
CZ,Czechia,2016,1480,14,8,1205,11,7,435,4,2,140,1,1
DE,Germany,2016,745265,907,238,722365,879,230,433910,528,138,256135,312,82
DK,Denmark,2016,6195,109,22,6070,106,21,7125,125,25,4275,75,15
EE,Estonia,2016,175,13,8,150,11,7,130,10,6,65,5,3
GR,Greece,2016,51110,474,293,49875,463,286,2715,25,16,2470,23,14
ES,Spain,2016,15755,34,14,15570,34,14,6855,15,6,355,1,0
FI,Finland,2016,5625,103,26,5295,96,24,7070,129,33,4320,79,20
FR,France,2016,84270,126,38,76790,115,34,28755,43,13,18715,28,8
HR,Croatia,2016,2225,53,47,2150,51,45,100,2,2,85,2,2
HU,Hungary,2016,29430,299,253,28215,287,243,430,4,4,155,2,1
IE,Ireland,2016,2245,48,8,2235,47,8,485,10,2,445,9,2
IS,Iceland,2016,1125,338,60,1100,331,58,95,29,5,50,15,3
IT,Italy,2016,122960,203,73,121185,200,71,35405,58,21,4800,8,3
LI,Liechtenstein,2016,85,226,15,80,213,14,45,120,8,20,53,4
LT,Lithuania,2016,430,15,11,415,14,11,195,7,5,180,6,5
LU,Luxembourg,2016,2160,375,38,2065,358,37,765,133,14,740,128,13
LV,Latvia,2016,350,18,14,345,18,14,135,7,5,45,2,2
MT,Malta,2016,1930,428,183,1735,385,165,1190,264,113,165,37,16
NL,Netherlands,2016,20945,123,30,19285,114,27,20810,123,29,9740,57,14
NO,Norway,2016,3520,68,10,3275,63,10,12780,245,38,11570,222,34
PL,Poland,2016,12305,32,29,9785,26,23,295,1,1,95,0,0
PT,Portugal,2016,1465,14,8,710,7,4,320,3,2,105,1,1
RO,Romania,2016,1880,10,11,1855,9,11,805,4,5,600,3,4
SE,Sweden,2016,28860,293,62,22385,227,48,66590,676,143,16875,171,36
SI,Slovenia,2016,1310,63,32,1265,61,31,170,8,4,140,7,3
SK,Slovakia,2016,145,3,2,100,2,1,210,4,3,5,0,0
UK,UK,2016,39855,61,16,39355,60,16,9935,15,4,8410,13,3
AT,Austria,2017,24735,282,67,22470,256,61,25205,287,68,17800,203,48
BE,Belgium,2017,18370,162,41,14055,124,32,12585,111,28,9655,85,22
BG,Bulgaria,2017,3695,52,70,3470,49,66,1695,24,32,800,11,15
CH,Switzerland,2017,18085,215,29,16670,198,27,14615,174,24,6245,74,10
CY,Cyprus,2017,4600,538,226,4475,524,220,1245,146,61,220,26,11
CZ,Czechia,2017,1450,14,7,1140,11,6,145,1,1,25,0,0
DE,Germany,2017,222625,270,68,198310,240,61,261630,317,80,123905,150,38
DK,Denmark,2017,3235,56,11,3140,55,11,2365,41,8,1280,22,4
EE,Estonia,2017,190,14,8,180,14,8,95,7,4,50,4,2
GR,Greece,2017,58660,545,332,56950,529,322,10455,97,59,9420,87,53
ES,Spain,2017,36610,79,31,33040,71,28,4090,9,4,580,1,0
FI,Finland,2017,5020,91,22,4350,79,19,3430,62,15,2400,44,11
FR,France,2017,99330,149,43,91965,138,40,32565,49,14,19005,28,8
HR,Croatia,2017,975,23,20,885,21,18,150,4,3,120,3,2
HU,Hungary,2017,3395,35,27,3120,32,25,1290,13,10,105,1,1
IE,Ireland,2017,2930,61,10,2910,61,10,760,16,3,640,13,2
IS,Iceland,2017,1085,321,50,1065,315,49,70,21,3,50,15,2
IT,Italy,2017,128855,213,74,126560,209,73,31795,52,18,5895,10,3
LI,Liechtenstein,2017,150,397,26,145,383,25,25,66,4,15,40,3
LT,Lithuania,2017,545,19,13,520,18,12,285,10,7,275,10,7
LU,Luxembourg,2017,2435,412,42,2325,394,40,1125,190,19,1085,184,19
LV,Latvia,2017,355,18,13,355,18,13,265,14,10,35,2,1
MT,Malta,2017,1840,400,154,1610,350,135,760,165,64,165,36,14
NL,Netherlands,2017,18210,107,25,16090,94,22,7810,46,11,3030,18,4
NO,Norway,2017,3560,68,10,3385,64,10,4770,91,13,3835,73,11
PL,Poland,2017,5055,13,11,3005,8,6,510,1,1,150,0,0
PT,Portugal,2017,1750,17,9,1015,10,5,500,5,3,120,1,1
RO,Romania,2017,4815,25,26,4700,24,25,1245,6,7,865,4,5
SE,Sweden,2017,26370,264,55,22225,222,46,26775,268,56,13330,133,28
SI,Slovenia,2017,1475,71,34,1440,70,33,150,7,3,140,7,3
SK,Slovakia,2017,165,3,2,155,3,2,60,1,1,0,0,0
UK,UK,2017,34860,53,15,34435,52,15,8570,13,4,7480,11,3
AT,Austria,2018,13745,156,36,11610,132,30,15020,170,39,10620,120,28
BE,Belgium,2018,22565,198,49,18160,159,39,9680,85,21,7865,69,17
BG,Bulgaria,2018,2535,36,45,2465,35,44,740,10,13,315,4,6
CH,Switzerland,2018,15235,180,25,13535,160,22,15230,180,25,6190,73,10
CY,Cyprus,2018,7765,898,358,7610,881,351,1215,141,56,195,23,9
CZ,Czechia,2018,1700,16,8,1360,13,6,155,1,1,40,0,0
DE,Germany,2018,184235,223,55,161930,196,48,75940,92,23,41370,50,12
DK,Denmark,2018,3600,62,12,3495,60,12,1315,23,4,825,14,3
EE,Estonia,2018,95,7,4,90,7,3,20,2,1,15,1,1
GR,Greece,2018,66975,624,373,64985,605,362,15210,142,85,12635,118,70
ES,Spain,2018,54060,116,45,52745,113,44,2895,6,2,575,1,0
FI,Finland,2018,4515,82,19,2955,54,13,2405,44,10,1765,32,8
